first,second,third
405,25101,28316
406,25107,30478
407,25163,28184
408,25181,26401
409,25223,29588
410,25297,27842
411,25349,28921
412,25713,26165
413,26115,32205
414,26255,30320
415,26360,31306
416,26397,28731
417,26440,29540
418,26775,29081
419,26844,28740
420,26883,27652
421,26932,30692
422,27186,32142
423,27567,27757
424,27634,29973
425,27993,31722
426,28425,30212
427,29364,29933
428,29369,31756
429,29408,32034
430,29722,32287
431,30510,32842
432,31201,31925
